Name,Year Membership
Dara Khosrowshahi,2008
Darys Estrella,2008
David Frederik von Rosen-von Hoewel,2008
David Jones (WEF),2008
David Martinon,2008
David Munro,2008
David Schmutzler,2008
David Skilling,2008
David Zhang,2008
Deborah Kan,2008
Demetrios Boutris,2008
Dennis Karpes,2008
Diana C. Chen,2008
Ed Miliband,2008
Eira Thomas,2008
Elizabeth Murdoch,2008
Ellana Lee,2008
Elon Musk,2008
Emil Tedeschi,2008
Enric Sala,2008
Eric Anderson,2008
Eriko Yamaguchi,2008
Ewa Sadowska,2008
Ferial Haffajee,2008
Fernando Zavala,2008
Francesco Vezzoli,2008
Francis Joseph Guevara Escudero,2008
Gabriel Naouri,2008
Gazmend Haxhia,2008
Geoff Davis,2008
George Walker,2008
Gong Wen,2008
Gustavo Cardoso,2008
Hamdan Bin Mohammed Bin Rashid Al Maktoum,2008
Henrik Borelius,2008
Hideki Makihara,2008
Hina Rabbani Khar,2008
Hines Ward,2008
Hou Songrong,2008
Hur Saehon,2008
Illac Diaz,2008
Ivo Lukacovic,2008
James Shikwati,2008
Jamie Mitchell,2008
Jared Genser,2008
Jasmin Staiblin,2008
Jeh Wadia,2008
Jennifer Elliseef,2008
Jeremy Philips,2008
Jesus Encinar,2008
Jigme Khesar Namgyal Wangchuck,2008
Jin Kim,2008
Jitesh Gadhia,2008
John Bul Dau,2008
John Mollanger,2008
John R. Baird,2008
Jonathan Korngold,2008
Joseph Kabila,2008
Joseph Sigelman,2008
Juan Carlos Ortiz,2008
Juan Domingo,2008
Ju-ha Kim,2008
Juliana L. Chugg,2008
Kara Walker,2008
Karien van Gennip,2008
Karim Wade,2008
Kate Hampton,2008
Khaldoon Al Mubarak,2008
Kimberly Moore,2008
Kirill Androsov,2008
Kirstine Stewart,2008
Kiyohiko Toyama,2008
Koichi Mizutome,2008
Kola Karim,2008
Kongpan Pramojna Ayudhaya,2008
Kristine Layfield,2008
Kurt Holle,2008
Kuseni Douglas Dlamini,2008
Kyriakos Tsakopoulos,2008
Lalla Salma,2008
Lars Hinrichs,2008
Laura Alfaro,2008
Laura Alfaro Maykal,2008
Laurer Alber,2008
Lei Liang,2008
Leng You-bin,2008
Leonardo DiCaprio,2008
