Name,Year Membership
Pajhwok Afghan,2010
Pan Jian-Wei,2010
Pawan Patil,2010
Peter Corsell,2010
Peter Lacy,2010
Phaedra Ellis-Lamkins,2010
Philipp Rîsler,2010
Prince Khalid Bin Bandar Bin Sultan,2010
Princess Bajrakitiyabha Mahidol,2010
Raghda El Ebrashi,2010
Rebecca Onie,2010
Reem Al Hashimy,2010
Ricken Patel,2010
Riyad Al Mubarak,2010
Robert Holdway,2010
Robert J. Finlay,2010
Roberto Milk,2010
Rodrigo Brito,2010
Roger Federer,2010
Rossana Figuera,2010
Sam Goldman,2010
Sandeep Naik,2010
Sangeeth Varghese,2010
Sangita Singh,2010
Sanjay Gupta,2010
Sanjeev Sanyal,2010
Sara Lamsam,2010
Scott Spirit,2010
Sebastian Bishop,2010
Serpil Timuray,2010
Shamina Singh,2010
Shauneen Lambe,2010
Simon Power,2010
Somaly Mam,2010
Sonja Sebotsa,2010
Sriram Raghavan,2010
Stanislav Voskresenskiy,2010
Stella McCartney,2010
Stephan Morais,2010
Steven Chen,2010
Suryani Senja,2010
Syed Mustafa Kamal,2010
Tadgh Flood,2010
Taizo Mikazuki,2010
Tal Keinan,2010
Tamara Abed,2010
Tamas Landesz,2010
Tashi Wangmo,2010
Tejpreet Singh,2010
Tina Birbili,2010
Tomas Pojar,2010
Umar Saif,2010
Vincent van Quickenborne,2010
Wang Zichao,2010
Winston Damarillo,2010
Wyclef Jean,2010
Xiang Xi,2010
Xie Youshun,2010
Yan Wangjia,2010
Ye Peng Tan,2010
Zabulon Vilakazi,2010
Zhang Liping,2010
Zhang Xuansong,2010
Zoya Phan,2010
Abdul Wunem Wasif,2011
Abdulla bin Ali Al Thani,2011
Adam Werbach,2011
AimÇ Pela°z Barranco,2011
Alexa von Tobel,2011
Alexandra Cousteau,2011
Alicia Morga,2011
Amy Finkelstein,2011
AndrÇ Loesekrug-Pietri,2011
Andrew Charlton,2011
Andrew Lee,2011
Andrey Elinson,2011
Annabelle Long,2011
Anuradha Achary,2011
April Rinne,2011
Areena Loo,2011
Ashutosh Tiwari,2011
Asli Karahan,2011
Avril Halstead,2011
AygÅl ôzka,2011
Badr Jafar,2011
Basetsana Kumalo,2011
Bethlehem Tilahun,2011
Bethlehem Tilahun Alemu,2011
Bhavin Turakhia,2011
Blake Mycoskie,2011
Brigitte Sitzberger,2011
Carlos Fernandes,2011
Carlos Mota,2011
Caroline Watson,2011
Charles Rutstein,2011
Cheng Ming Yu,2011
Chetan Maini,2011
Chew Seow-Chien,2011
Christa Markwalder,2011
Christian Angermayer,2011
Christian Behrenbruch,2011
Chuka Umunna,2011
Clare Lockhar,2011
Cynthia Wu,2011
Dagmawi Woubshet,2011
Dan Senor,2011
Dana Perino,2011
Daniel Cruise,2011
Dave Eggers,2011
David del Ser,2011
David Hill,2011
David J. McAllister,2011
David Rodin,2011
Dawood Azami,2011
Deepender Singh Hooda,2011
Diana Tsui,2011
Diana Verde Nieto,2011
Dionysia-Theodora Avgerinopoulou,2011
Dylan E. Taylor,2011
E. Benjamin Skinner,2011
Eduardo A. Cru,2011
Egemen Bagis,2011
Elsie S. Kanza,2011
Eric Parrado,2011
Fahd Al Rasheed,2011
Fawad Ahmad,2011
Folashade Laoye,2011
Francesca Colombo,2011
Funmi Iyanda,2011
Gemma Mortensen,2011
Georges Harik,2011
Geraldine Chin Moody,2011
Gina Bianchini,2011
Gita Gopinath,2011
Golnaz Fathi,2011
Grace Chiang,2011
Guillermo Romo,2011
Hala Gorani,2011
Harold E. Ford,2011
Haruo Miyagi,2011
Hrund Gunnsteinsdottir,2011
Jacqueline Musiitwa,2011
Jaime Nack,2011
Jamail Larkins,2011
James R. Lee,2011
Jane McGonigal,2011
Jayme Martin,2011
Jeremy Heimans,2011
Jessica Jackley,2011
Jimmy Pham,2011
Juan Carlos Pinz¢n,2011
Kala Mulqueeny,2011
Kanae Doi,2011
Kang Hyunjung,2011
Katharina Borchert,2011
Katinka Barysch,2011
Katrin Ley,2011
Ken Noguchi,2011
Koichi Yamauchi,2011
Liliana Gil,2011
Lily Lapenna,2011
Liu Yingxia,2011
llen Gonda,2011
Loulwa M. Bakr,2011
Lucas Carn,2011
Lucas Simons,2011
M. Arsjad Rasjid P. Mangkuningrat,2011
Magatte Wade,2011
Mahindra Reva,2011
Manish Khera,2011
Margaret de Heinrich,2011
Maria Eugenia Vidal,2011
Marin Soljacic,2011
Mario Martin Delgado Carrillo,2011
Martin Seidenberg,2011
Masatada Kobayashi,2011
Max Levchin,2011
May Al Dabbagh,2011
Meenakshi Natarajan,2011
Melanie Walker,2011
Milos Ristic,2011
Mir Ibrahim Rahman,2011
Mitchell Pham,2011
Murad Sofizade,2011
Na Sung-Kyun,2011
Naheed Nenshi,2011
Naif Al-Mutawa,2011
Najwa Shihab,2011
Naoko Yamazaki,2011
Ngo Bao Chau,2011
Nick Pisalyaput,2011
Nikki R. Haley,2011
Niko Canner,2011
Ofra Anne Eshed,2011
Olivier Oullier,2011
Omar Hamoui,2011
Ory Okolloh,2011
Ozlem Denizmen,2011
Pan Haidong,2011
Pasquale Salzano,2011
Pete Cashmore,2011
Pierre-Alexandre TeuliÇ,2011
Priya Hiranandani-Vandrevala,2011
Ramakarthikeyan Srikrishna,2011
Rani Raad,2011
Raphael Schoentgen,2011
Rex Bernardo,2011
Ricardo Ter†n Ter†n,2011
Rieke Diah Pitaloka,2011
Rima Maktabi,2011
Ruslana Lyzhichko,2011
Rye Barcot,2011
Saleem Ali,2011
Salvador Biguria,2011
Sandeep Chatterjee,2011
Sanjay Chandra,2011
Sara Blakely,2011
Sasja Beslik,2011
Saul Griffith,2011
Scott Gilmore,2011
Sheila Lirio Marcelo,2011
Shinjiro Koizumi,2011
Sophal Ear,2011
Stefan Reichenbach,2011
Stephen Frost (consultant),2011
Sultan S. Al Qassemi,2011
Susan Mashibe,2011
Tamim Khallaf,2011
Tebogo Skwambane,2011
Teresa Bo,2011
Thapana Sirivadhanabhakdi,2011
Timothy Chen,2011
Tina Y. Lo,2011
Tom†s Recart,2011
Valerie Casey,2011
Vivek Kundra,2011
Vuyo D. Kahla,2011
Wang Yong,2011
Wen Zhou,2011
Wenceslao Casares,2011
Westley Moore,2011
William H. Sait,2011
Wolff Klabin,2011
Yan Yanovskiy,2011
Yana Peel,2011
Yara Arguet,2011
Yoshikazu Tanaka,2011
Zaid Daoud Al Siksek,2011
Zhang Hongxia,2011
Zhang Jianqun,2011
Zhou Xun,2011
Zibusiso Mkhwanazi,2011
Zoe Keating,2011
Adam Lowry,2012
Adarsh Kumar,2012
Adrian Cheng,2012
Agnes Osztolykan,2012
Aimee Mullins,2012
Akimitsu Sano,2012
Akudo Anyanwu-Ikemba,2012
Aldi Haryopratomo,2012
Alexis Bonte,2012
Alok Kshirsagar,2012
Alvaro Fern†ndez Ib†§ez,2012
Amadou Hott,2012
Amanda McCluskey,2012
Analisa Balares,2012
Ananda Siregar,2012
Andrea StÅrmer,2012
Angela Morelli,2012
Asanga Abeyagoonasekera,2012
Ashish J. Thakkar,2012
Ashwin Naik,2012
Ayman Ismail,2012
Benedict Carandang,2012
Binoy Job,2012
Binta Niambi Brown,2012
Biola Alabi,2012
Birgitta Ohlsson,2012
Brendan Cox,2012
Brian Herlihy,2012
Bright Simons,2012
Candy Chang,2012
Carlos Moncayo,2012
Carolina Freire,2012
Cesar Conde,2012
Chhavi Rajawat,2012
Christel Heydemann,2012
Christian Hans Wessels,2012
Cina Lawson,2012
Claire Boonstra,2012
Clare Akamanzi,2012
Dalia Mogahed,2012
Daniel Bahr,2012
Danny Cohen,2012
Dave Hanley,2012
David Boehmer,2012
David Fischer,2012
David Hertz,2012
David Wayne Callaway,2012
Denis B. Minev,2012
Denis Morozov,2012
Dhananjayan Sriskandarajah,2012
Diego de Sola,2012
Dina Shoman,2012
Diosdado Rey Banatao,2012
Dirk Nowitzki,2012
Drue Kataoka,2012
Eduardo Madina,2012
Eli Beer,2012
Emilio Lozoya,2012
Emmanuel Jal,2012
Eunice Nuekie Cofie,2012
Facundo Garreton,2012
Fasi Zaka,2012
Fathimath Dhiyana Saeed,2012
Fatima Bhutto,2012
Felipe Kast Sommerhoff,2012
Francis Ngai Wah Sing,2012
Franz Koch,2012
Fred Swaniker,2012
George Stroumboulopoulos,2012
Georgie Bernadete,2012
Gina Badenoch,2012
Gregory McKeown,2012
Henrique Capriles Radonski,2012
Hilal Ahmed Lashuel,2012
Huma Abedin,2012
Ian Pearman,2012
Ian Solomon,2012
Isis Nyong'o,2012
J. B. Straubel,2012
Jane Burston,2012
Jane Marie Chen,2012
Jasandra Nyker,2012
Jeff Zeleny,2012
Jem Bendell,2012
John Legend,2012
Jonathan Adiri,2012
Jonathan Levin,2012
Josh James,2012
Joshua Dubois,2012
Joshua G. James,2012
Junya Kondo,2012
Kaliya Hamlin,2012
Kate Ellis,2012
Kathleen Reen,2012
Ken Howery,2012
Kentaro Iemoto,2012
Kim Hana,2012
Kimathi Kuenyehia,2012
Kresse Wesling,2012
Kristin Groos Richmond,2012
Kunihiko Shimada,2012
Kwong Weng Yap,2012
Lama Hourani,2012
Lara Setrakian,2012
Laura Alonso,2012
Lena Janel Bansal,2012
Lin Kobayashi,2012
Lisa MacCallum,2012
Liu Jiachen,2012
Lo Sze Ping,2012
Lutfey Siddiqi,2012
Lynn Loo,2012
Maggie Berry,2012
Maickel Melamed,2012
Maria Nelly Rivas,2012
Martha Lane Fox,2012
Martin Bruncko,2012
Matteo Renzi,2012
Mbarka Bouaida,2012
Michal Krupinski,2012
Mitsuru Izumo,2012
Mohammed Dewji,2012
Nabila Ramdani,2012
Natalie Rickli,2012
Nauman Khan,2012
Neil Blumentha,2012
Niall Dunne,2012
Nick Yang Ning,2012
Nikolay Dobrovolskiy,2012
Ning Tian,2012
Nisreen Haj Mohammed,2012
Nisreen Shahin,2012
Nurul Izzah Anwar,2012
Ohood Al Roumi,2012
Olebile Makhupe,2012
Oya-Hazel Gumede,2012
Pardis Sabeti,2012
Pasha Bakhtiar,2012
Petia Dimitrova,2012
Pham Tuan,2012
Princess Mary Elizabeth of Denmark,2012
Privahini Bradoo,2012
Rachel Haot,2012
Rachel Sterne,2012
Rain Newton-Smith,2012
Rajamanohar Somasundaram,2012
Rajeeb Dey,2012
Rangina Hamidi,2012
Rebeca Hwang Eun Young,2012
Rebecca Saxe,2012
Reese Fernandez,2012
Renato D. Lopes,2012
Robyn Scott,2012
Roland Nash,2012
Salman Khan,2012
Sam Gregory,2012
Sami Khoreibi,2012
Samuel Elia,2012
Sandrine Joseph,2012
Sanjiv Rai,2012
Santiago Cosio Pando,2012
Satoru Yamamoto,2012
Scott Harrison,2012
Sendhil Mullainathan,2012
Shahzada Dawood,2012
Shokei Suda,2012
Shuo Wang,2012
Simon Kolawole,2012
Sisonke Msimang,2012
Slim Amamou,2012
Soulaima Gourani,2012
Steven Sim Chee Keong,2012
Subhashini Chandran,2012
Suheir Hammad,2012
Sultan Ahmed Jaber,2012
Suzanne Ehlers,2012
Tan Yinglan,2012
Tara Comonte,2012
Therese Fernandez-Ruiz,2012
Tian Ning,2012
Tian Wei,2012
Tim Levene,2012
Tim Wu,2012
Tom Hulme,2012
Toshihiro Nakamura,2012
Tuan Pham,2012
V. R. Ferose,2012
Valerie Keller,2012
Vandana Goyal,2012
Vanessa Vilela,2012
Vera Koalia,2012
Vera Kobalia,2012
Victor Ponta,2012
Victor Tong Joo Chuan,2012
Vimbayi Kajese,2012
Wael Ghonim,2012
Wang Shuo,2012
Yana Buhrer Tavanier,2012
Yap Kwong Weng,2012
Yuan Yuan Tan,2012
Aaron Maniam,2013
Ahmed Al Shugeiri,2013
Ai-jen Poo,2013
Aisha Al Khater,2013
Ajay Chaturvedi,2013
Alex Okosi,2013
Alex Wyatt,2013
Alexander Atzberger,2013
Alexis Ringwald,2013
Ali Adnan Ibrahim,2013
Ali Zuashkiani,2013
Almira Zejnilagic,2013
Amit Mehr,2013
Amy Jadesimi,2013
Ana Gabriela Pessoa,2013
Andrew Kuper,2013
Angela Sun,2013
Anna Marrs,2013
Arif P. Rachmat,2013
Arnaud Ventura,2013
Arunabha Ghosh,2013
Asif Saleh,2013
Athar Osama,2013
Aymeric Sallin,2013
Bayartsetseg Jigmiddash,2013
Ben Jealous,2013
Bruno S†nchez-Andrade Nu§o,2013
Bunty Bohra,2013
Carlos de Hart,2013
Catherine E. de Vries,2013
Celine Herweijer,2013
Chelsea Clinton,2013
Chen Qiqing,2013
Chris Hughes (Facebook),2013
Christian Mandl,2013
Christine Graeff,2013
Claire Hsu,2013
Clara Shih,2013
Codrut Pascu,2013
Cristiano CÉmara,2013
Daisuke Tsuda,2013
Dana Costache,2013
David Rhodes,2013
Deepak Madnani,2013
Dispanadda Diskul,2013
Dong-Kwan Kim,2013
Dorcas Muthoni,2013
Dries Buytaert,2013
Dumith Fernando,2013
Dune Thorne,2013
Elaine Smith,2013
Elinros Lindal,2013
Elizaveta Osetinskaya,2013
Eric Greitens,2013
Eun-Kyung Park,2013
Fabrizio Campelli,2013
Florence Verzelen,2013
Florian Henckel von Donnersmarck,2013
Gian Tu Trung,2013
Gilles MentrÇ,2013
Gordon Hughes,2013
H. H. Tunku Ali Redhauddin Tuanku Muhriz,2013
Hisham El-Khazindar,2013
Ida Auken,2013
Igor Luksic,2013
Jacques Beltran,2013
Jacques-Philippe Piverger,2013
James Mwangi,2013
Jamie Morin,2013
Jamil Anderlini,2013
Jane McAdam,2013
January Yusuf Makamba,2013
Jared Polis,2013
Jennifer Zhu Scott,2013
Jeremy Balkin,2013
Jeremy Howard,2013
Jesmane Boggenpoel,2013
John Echauz,2013
John Harthorne,2013
Joosung Lee,2013
Judith Lingeman,2013
Julie Bedard,2013
Justin Finnegan,2013
Katherine Richard,2013
Katie Jackson,2013
Keely Stevenson,2013
Kelly Zong,2013
Koh Lian-Pin,2013
Laetitia Puyfaucher,2013
Lars Jannick Johansen,2013
Le Thi Thu Thuy,2013
Leila Janah,2013
Lindiwe Mazibuko,2013
Lord Nat Wei,2013
Luis Arbulu,2013
Luisa Ribeiro,2013
Lynsey Addario,2013
Magnus Renfrew,2013
Marc Wabi,2013
Marcela Escobari,2013
Marieme Jamme,2013
Mark Pollock,2013
Mark Vlasic,2013
Martin Aspillaga,2013
Martina Viarengo,2013
Mary Nazzal-Batayneh,2013
Masami Komatsu,2013
Matthew Levin,2013
Matthew Parish,2013
Melisande Middleton,2013
Michel Martone,2013
Miranda A. Ballentine,2013
Monica Katebe Musonda,2013
Nick Talwar,2013
Nima Tshering,2013
Nina Nashif,2013
Ninie Wang Yan,2013
Nishan Degnarain,2013
Nitsara Karoonuthaisir,2013
Ola Orekunrin,2013
Panmela Castro,2013
Philipp Jan Flach,2013
Pierre Maudet,2013
Pooja Warier,2013
Pranav Mistry,2013
Qiu Huanguang,2013
Rachel Botsman,2013
Randi Zuckerberg,2013
RenÇe Maria Tremblay,2013
Richard Chen Li,2013
Rina Gee Kupferschmid-Rojas,2013
Roberto Herrera,2013
Rodrigo PÇrez-Alonso Gonz†lez,2013
Rodrigo Teles,2013
Ron Cao,2013
Ronald Mendoza,2013
Roopa Purushothaman,2013
Rosebell Kagumire,2013
Saran Kaba Jones,2013
Sharmeen Obaid Chinoy,2013
Shazi Visram,2013
Shirin Natour-Hafi,2013
Shivinder Mohan Singh,2013
Shoukei Matsumoto,2013
Silje Vallestad,2013
Silvia Console Battilana,2013
Simon Bridges,2013
Simon Levy Dabbah,2013
Solomon Assefa,2013
Soulaymane Kachani,2013
Srdja Popovic,2013
Tal Nazer,2013
Tamara Olsen,2013
Tara Fela-Durotoye,2013
Taro Otsuka,2013
Ted Wiley,2013
Thomas J. Bollyky,2013
Thomas Wilhelmsen,2013
Thura Ko,2013
Tony Abrahams,2013
Tony Hsieh,2013
Vaishali Rastogi,2013
Vannarith Chheang,2013
Vikas Pota,2013
Vuk Jeremic,2013
Wael Sawan,2013
Wan Tailei,2013
Wendy Dent,2013
Win Win Tint,2013
Winston Ma Wenya,2013
Yohei Shibasaki,2013
Zubaida Bai,2013
Ahmed Mater,2014
Ailish Campbell,2014
Alan Ricks,2014
Alek Wek,2014
Alexander Geiser,2014
Ali J. Siddiqui,2014
Alison Loat,2014
Amy J. C. Cuddy,2014
Andrea Pasinetti,2014
Angellah Jasmine Kairuki,2014
Anoop Ratnaker Rao,2014
Anthony Smare,2014
Anton du Plessis,2014
Antony Bugg-Levine,2014
Anurag Thakur,2014
Asma Siddiki,2014
Aswin Techajareonvikul,2014
Augusto Townsend Klinge,2014
Austin Ramirez,2014
Avani Davda,2014
Ayesha Vera-Yu,2014
Bai Yunfeng,2014
Banafsheh Geretzki,2014
Bayanjargal Byambasaikhan,2014
Belinda Parmar,2014
Bernice Dapaah,2014
Bettina Hein,2014
Brooke Ellison,2014
Candice Beaumont,2014
Cassandra Chiu,2014
Catherine Howarth,2014
Charlize Theron,2014
Chen Wei,2014
Chiki Sarkar,2014
Christian Hernandez Gallardo,2014
Christine Sfeir,2014
Clare Payne,2014
Claudia Belmont Gra§a,2014
Claudia Sender,2014
Claudia Sender Ramirez,2014
Courtney Leimkuhler,2014
Cristina Batlan,2014
Daniella Ballou-Aares,2014
Danladi Verheijen,2014
Daron Roberts,2014
Dave Duarte,2014
David Berry,2014
David Karp,2014
Dee Poon,2014
Deng Fei,2014
Devesh Raj,2014
Devry Boughner Vorwerk,2014
Dhanurjay Patil,2014
Dominique Anglade,2014
Dorjee Sun,2014
Earl Martin Sawit Valencia,2014
Eikei Suzuki,2014
Eyal Gura,2014
Fabrice Franzen,2014
Farhan Akhtar,2014
Fatima Zahra Mansouri,2014
Francesca Carlesi,2014
Francesca McDonagh,2014
Ganzorig Vanchig,2014
Gao Xiaohong,2014
Gassan Al Kibsi,2014
Giulio Boccaletti,2014
Gonzalo Begazo,2014
Gugu Nxiweni,2014
Hajo van Beijma,2014
Hanli Prinsloo,2014
Hanneli Rupert,2014
Hashim Shawa,2014
Hassan El Houry,2014
Hayley Warren,2014
Heather Zichal,2014
Ida Liu,2014
Iim Fahima Jachja,2014
Ilias Chantzos,2014
Irina Anghel-Enescu,2014
Ivan Vatchkov,2014
Iwao Aso,2014
Jacinda Ardern,2014
Jaime Herrera Beutler,2014
James Moore,2014
Jared Cohen,2014
Jennifer Nichols,2014
Jessica Long,2014
Jin Keyu,2014
Ji-Young Park,2014
Johannes Weber,2014
John B. Rogers,2014
Jonathan Rake,2014
Jose Enrique Concejo,2014
Josh Nesbit,2014
Juan Carlos Ruck,2014
Julia Andrea,2014
Julia Andrea Abad,2014
Julia Bacha,2014
Julia R. Greer,2014
Julien Steimer,2014
Julio Hector Estrada,2014
Julissa Reynoso,2014
Kanini Mutooni,2014
Karl-Johan Persson,2014
Kat Cole,2014
Katarzyna Pisarska,2014
Kathryn Dovey,2014
Kavita Patel,2014
Keisuke Goda,2014
Ken Endo,2014
Ken Tun,2014
Kentaro Ichiki,2014
Khalid Alkhudair,2014
Khin Zaw Latt,2014
Kieron Boyle,2014
Kitty Parry,2014
Lana Nusseibeh,2014
Laurie Zephyrin,2014
Leah Busque,2014
Lee Xiaodong,2014
Leila Hoteit,2014
Leila Velez,2014
Lena Ng,2014
Lerato Mbele,2014
Lila Preston,2014
Limor Fried,2014
Liu Qiangdong,2014
Luca H. Neghesti,2014
Lynn Jurich,2014
Ma Yansong,2014
Maria Doris Dumlao,2014
Maria Teresa Kumar,2014
Mariame McIntosh Robinson,2014
Marietje Schaake,2014
Marion Poetz,2014
Marlon Parker,2014
Maseena Ziegler,2014
Mei Ling Doery,2014
Michael Acton Smith,2014
Michael Macharia,2014
Michelle Zatlyn,2014
Mohammad Ali Shabani,2014
Mohit Joshi,2014
Mona Al Marri,2014
Monique PÇan,2014
Mosharraf Zaidi,2014
Nabeel Amudi,2014
Nandini Piramal,2014
Natalia Vodianova,2014
Nate Morris,2014
Nathalie Dauriac-Stoebe,2014
Nguyen Hoang Long,2014
Nicol†s Shea,2014
Nicol†s Shea Carey,2014
Niel Harper,2014
Nikolina Angelkova,2014
Nikolina Nikolova,2014
Nina Jensen,2014
Nkosana Mashiya,2014
Nneka Mobisson-Etuk,2014
Nolan Watson,2014
Noura Al Kaabi,2014
Olivia Leland,2014
Omezzine Khelifa,2014
Pallavi S. Aiyar,2014
Parmesh Shahani,2014
Patricia Cobian,2014
Patrick Allen,2014
Philipp Missfelder,2014
Pierre Kosciusko Morizet,2014
Rachael Chong,2014
Rachel Carrell,2014
Rajiv Pant,2014
Rania A. Al-Mashat,2014
Ratheesan Yoganathan,2014
Ray Tong Zhilei,2014
Rayid Ghani,2014
Razan Zaitouneh,2014
Rebecca Weintraub,2014
RenÇ Redzepi,2014
Ricky Wong,2014
Rishad Premji,2014
Rodrigo Teijeiro,2014
Rohan Silva,2014
Roksana Ciurysek-Gedir,2014
Roshni Nadar Malhotra,2014
Sabeen Mahmud,2014
Sabrina Chao,2014
Sachin Bansal,2014
Salomon Chertorivski Woldenberg,2014
Sandhya Venkatachalam,2014
Sandro Salsano,2014
Sara Menker,2014
Sara Sutton Fell,2014
Sarah-Jayne Blakemore,2014
Shahrzad Rafati,2014
Soichiro Minami,2014
Soichiro Swimmy Minami,2014
Sonia Medina,2014
Sony Kapoor,2014
Soraya Darabi,2014
Souad Mekhennet,2014
So-Young Kang,2014
Steven Fulop,2014
Tatiana Lacerda Prazeres,2014
Thomas Aeschi,2014
Tonni Agustiono Kurniawan,2014
Valerie Feldman,2014
Vania Mas°as M†laga,2014
Vincent W. Bagiire,2014
Vishwarupe Narain,2014
Vo Trong Nghia,2014
Wladimir Klitschko,2014
Yang Dongning,2014
Yvonne Li,2014
Zhivko Mukaetov,2014
Zin Mar Aung,2014
Abdelmalek Alaoui,2015
Abid Butt,2015
Adam Grant,2015
Aditya Ghosh,2015
Alberto Alemanno,2015
Alexander De Croo,2015
Alexander Torrenegra,2015
Alix Zwane,2015
Andrea Armani,2015
Andrea Cooper,2015
Andres Simon Gonzalez-Silen,2015
Andrew Bastawrous,2015
Asha De Vos,2015
Ashish Goyal,2015
Bengi Korkmaz,2015
Bodour Al Qasimi,2015
Brian Forde,2015
Brian Gallant,2015
Burcu Geris,2015
Carlota Mateos,2015
Caroline Berube,2015
Daan Roosegaarde,2015
Dana Leong,2015
Danae Bezantakou,2015
Donald Patrick Lim,2015
Edwin Macharia,2015
Fahad Aldhubai,2015
Funeka Montjane,2015
Guillaume Barazzone,2015
Gunhild A. Stordalen,2015
Helen Hai,2015
Henrik Lind,2015
Hua Fung Teh,2015
Hugh Whalan,2015
Ian Walsh,2015
Ilona Szab¢ de Carvalho,2015
Imani Duncan-Price,2015
James Chau,2015
Jean Liu,2015
Jeffrey Tau Hoong Lim,2015
Juliana Chan,2015
Julie Smolyansky,2015
Kakha Kaladze,2015
Katharina Beumelburg,2015
Khaled Al Sabawi,2015
Kirsten Parker,2015
Krithi Karanth,2015
Kuok Meng Wei,2015
Landry Signe,2015
Lauren Koopman,2015
Lina Ben Mhenni,2015
Luis Felipe Carrillo,2015
Maria Antonia Arroyo,2015
Marina Kolesnik,2015
Matthew Tilleard,2015
Max Li,2015
Max Neukirchen,2015
Melike Yetken,2015
Meng Liu,2015
Michelle Dipp,2015
Mokena Makeka,2015
Mustapha Mokass,2015
Nadia Saqqaf,2015
Naomi Koshi,2015
Nariman Sadri,2015
Nasser Bin Nasse,2015
Neha Kirpal,2015
Nicolas Hazard,2015
Pablo Jenkins,2015
Pablo Salazar Rojo,2015
Pan Jiang,2015
Park Yu-Hyun,2015
Patricia Dwyer,2015
Paula Marcela Moreno Zapata,2015
Philip Tinari,2015
Pingtjin Thum,2015
Rachel Schutt,2015
Rafat Akhali,2015
Reema Bint Bandar Al-Saud,2015
Ronaldo Lemos,2015
Rory Hunter,2015
Ruzwana Bashir,2015
Sadiq Gillani,2015
Safak Pavey,2015
Sheri Hickok,2015
Ska Keller,2015
Stela Mocan,2015
StÇphanie Lacour,2015
Steve Arora,2015
Stuart Cook,2015
Tinna Nielsen,2015
Tristram Stuart,2015
Tshering Lama,2015
Tulsi Gabbard,2015
Victoria Ransom,2015
Vivian Claire Liew,2015
Yang Lin,2015
Zachary Bogue,2015
Zoe Butt,2015
Zulfikar Ali Bader,2015
Abayomi Awobokun,2016
Ada Osakwe,2016
Alexander Betts,2016
Amal Clooney,2016
Amira Yahyaoui,2016
Aria Finger,2016
Ashton Kutcher,2016
Avid Larizadeh-Duggan,2016
Carol Li Rafferty,2016
Cheryl Perera,2016
Chih-Han Yu,2016
Christopher Ategeka,2016
Danae Ringelmann,2016
Daniel M. Shin,2016
Dhivya Suryadevara,2016
Divya Seshamani,2016
Eleni Antoniadou,2016
Emmanuel Macron,2016
Farida Bedwei,2016
Farkhunda Zahra Naderi,2016
Forsan Hussein,2016
Hadia Tajik,2016
Hannah Hopko,2016
Hassina Syed,2016
Hina Butt,2016
James Mworia,2016
James Song,2016
Joe Gebbia,2016
Julia Shakhnovskaya,2016
Juliana Rotich,2016
Julie Chappell,2016
Julie Yoo,2016
Kadija Idrissi Janati,2016
Kalin Anev Janse,2016
Kentaro Katayama,2016
Laura Storm,2016
Leslie Dewan,2016
Lila Tretikov,2016
Maelle Gavet,2016
Mary Vilakazi,2016
Melanie Joly,2016
Michael Lefenfeld,2016
Michelle Rempel,2016
Mohamed Faizal Mohamed Abdul Kadir,2016
Muntaqa Umar-Sadiq,2016
Nima Elbagir,2016
Nima Elmi,2016
Nina Tandon,2016
Nomin Chinbat,2016
Ohtani Kojun,2016
Pablo Arosemena,2016
Patrick Youssef,2016
Penny Abeywardena,2016
Peter Rutland,2016
Pham Thi Ngan,2016
Poppy Allonby,2016
Rebecca Yang Yuancao,2016
Roland G. Fryer,2016
Roy Hessel,2016
Sam Altman,2016
Samantha Freebairn,2016
Sarah Hanson-Young,2016
Seow-Chien Chew,2016
Seth Moulton,2016
Sheetal Amte-Karajg,2016
Sheng Fu,2016
Shivani Siroya,2016
Shu Wang,2016
Simon Smiles,2016
Sotaro Uemura,2016
Thaung Su Nyein,2016
Torsten Lichtenau,2016
Umer Cheema,2016
Verena Pausder,2016
Victor Ochen,2016
Wafa Sayadi,2016
William Marshall,2016
William Tanuwijaya,2016
Yeen Seen Ng,2016
Yinuo Li,2016
Zukie Siyotula,2016
Zunaid Ahmed Palak,2016
Aarti Takoordeen,2017
Abdourahmane CissÇ,2017
Adam Kinzinger,2017
Aja Brown,2017
Alejandro Brenes,2017
Ankur Jain,2017
Atsumi Hasegawa,2017
Bernise Ang,2017
Bill Liu Zihong,2017
Billy Mawasha,2017
Brad Henderson,2017
Brie Loskota,2017
Calvin Choi,2017
Chen Man,2017
Chido Govera,2017
Christine Hsu,2017
Claudia Olsson,2017
Dan Berelowitz,2017
Douglas C. K. Woo,2017
Edward Santow,2017
Emilia Macarie,2017
Eyad Alkassar,2017
Faisal Abbas,2017
Fan Ling,2017
Farzana Yaqoob,2017
Faten Kallel,2017
Feng Zhang,2017
Florian Hoffmann,2017
Ganzorig Ulziibayar,2017
Graves Tompkins,2017
Hindol Sengupta,2017
Insa Klasing,2017
Jamila Abass,2017
Jesse Moore,2017
Juan Pablo Larenas,2017
Katie Hill,2017
Lisa Walker,2017
Lois Auta,2017
Luhan Yang,2017
Lydie Hudson,2017
M. Yasmina McCarty,2017
Malak Jehad Al Akiely,2017
Maliha M. Quadir,2017
Maria Soledad Nu§ez Mendez,2017
Mike Moradi,2017
Mohamed Alami Berrada,2017
Molly Crockett,2017
Mona Hammami,2017
Mouhamed Moustapha Fall,2017
Nadeen Matthews,2017
Naisula Lesuuda,2017
Natznet Tesfay,2017
Navrina Singh,2017
Neema Kaseje,2017
Nili Gilbert,2017
Nina Rawal,2017
